"","obs","pred"
"1",800,824.422
"2",3250,3300.01
"3",6815,6962.44
"4",12170,12755.3
"5",17430,19025.5
"6",10040,10486.8
"7",6000,6128.55
"8",5010,5091.67
"9",3630,3665.1
"10",2245,2259.67
"11",3875,3911.75
"12",3880,3917.27
"13",2820,2838.02
"14",2550,2564.3
"15",2520,2532.18
"16",2275,2284.02
"17",622,633.617
"18",554,555.26
"19",670,671.447
"20",810,811.594
"21",1477,1478.38
"22",3920,3916.64
"23",3618,3615.36
"24",1002,1003.93
"25",185,186.032
"26",248,249.283
"27",483,484.885
"28",1107,1109.38
"29",1527,1529.2
"30",1716,1717.63
"31",4528,4517.15
"32",7770,7734.73
"33",4820.3,4803.68
"34",5966.19,5938.95
"35",5635.4,5611.28
"36",3340.31,3335.11
"37",2935.01,2931.79
"38",3055.45,3051.41
"39",5408.89,5381.2
"40",3333.47,3325.4
"41",3132.77,3127.24
"42",3339.25,3331.85
"43",5256.07,5229.42
"44",4810.79,4790.84
"45",4521.67,4506.28
"46",4957.71,4939.65
"47",4186.65,4178.45
"48",4052.09,4045.12
"49",3951.65,3944.27
"50",3902.36,3894.85
"51",3443.93,3439.65
"52",5077.01,5062.11
"53",4879.28,4868.83
"54",4278.23,4270.48
"55",3944.55,3937.4
"56",3433.99,3428.91
"57",1835.1,1836.07
"58",2358.79,2358.25
"59",2748.16,2747.11
"60",2384.92,2384.62
"61",2376.49,2376.68
"62",1875.74,1876.65
