"age","fish","srv1","maturity"
2,6.96628e-05,0.00787849,0.0037307
3,0.000323125,0.0154587,0.00711441
4,0.00149741,0.0301107,0.0135255
5,0.00690973,0.0578345,0.025565
6,0.0312719,0.108236,0.0478021
7,0.130263,0.193537,0.0876418
8,0.40999,0.321806,0.155271
9,0.763257,0.484061,0.260203
10,0.937336,0.649747,0.402277
11,0.985795,0.785773,0.562901
12,0.996904,0.878823,0.711334
13,0.999331,0.93481,0.825029
14,0.999856,0.965932,0.900225
15,0.999969,0.982475,0.945249
16,0.999993,0.991059,0.970619
17,0.999999,0.995458,0.984427
18,1,0.997698,0.9918
19,1,0.998834,0.995698
20,1,0.99941,0.997747
21,1,0.999702,0.998821
22,1,0.999849,0.999384
23,1,0.999924,0.999678
24,1,0.999961,0.999832
25,1,0.99998,0.999912
26,1,0.99999,0.999954
27,1,0.999995,0.999976
28,1,0.999997,0.999987
29,1,0.999999,0.999993
30,1,0.999999,0.999997
31,1,1,0.999998
32,1,1,0.999999
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
